year_,changwat_id,changwat,male_thai,female_thai,total_thai,male,female,total,n_house
2565,82,พังงา,131303,132086,263389,133459,133983,267442,122210
2565,83,ภูเก็ต,190845,216141,406986,197101,220790,417891,281204
2565,84,สุราษฎร์ธานี,522631,542326,1064957,527555,546108,1073663,530712
2565,85,ระนอง,90143,89457,179600,97803,96423,194226,95752
2565,86,ชุมพร,249083,256264,505347,251226,258159,509385,248311
2565,90,สงขลา,691127,730191,1421318,696482,734581,1431063,572645
2565,91,สตูล,161576,163187,324763,161878,163425,325303,109030
2565,92,ตรัง,311101,325712,636813,311849,326357,638206,241159
2565,93,พัทลุง,253616,267662,521278,253817,267802,521619,202367
2565,94,ปัตตานี,361452,369956,731408,362263,370692,732955,201433
2565,95,ยะลา,270723,273650,544373,271480,274433,545913,175981
2565,96,นราธิวาส,402020,410905,812925,402665,411456,814121,226505
2566,10,กรุงเทพมหานคร,2500140,2871426,5371566,2555426,2916162,5471588,3251621
2566,11,สมุทรปราการ,642243,713359,1355602,651455,721515,1372970,767957
2566,12,นนทบุรี,600682,697271,1297953,606134,701958,1308092,756885
2566,13,ปทุมธานี,570961,637537,1208498,576746,642453,1219199,698024
2566,14,พระนครศรีอยุธยา,393083,426833,819916,394255,427851,822106,356235
2566,15,อ่างทอง,129221,141078,270299,129432,141294,270726,104166
2566,16,ลพบุรี,361691,366577,728268,362500,367197,729697,303427
2566,17,สิงห์บุรี,95489,105645,201134,95652,105787,201439,81191
2566,18,ชัยนาท,151580,164275,315855,151775,164445,316220,131349
2566,19,สระบุรี,311944,324719,636663,313097,325729,638826,300003
2566,20,ชลบุรี,774142,820901,1595043,787986,830080,1618066,1145520
2566,21,ระยอง,373577,389879,763456,378051,393138,771189,560445
2566,22,จันทบุรี,259529,272452,531981,261834,274602,536436,257417
2566,23,ตราด,107331,110159,217490,112157,114895,227052,112977
2566,24,ฉะเชิงเทรา,355337,371150,726487,357453,373090,730543,338168
2566,25,ปราจีนบุรี,245775,252551,498326,246490,253073,499563,238172
2566,26,นครนายก,127805,130922,258727,128575,131542,260117,108919
2566,27,สระแก้ว,278851,279124,557975,281069,281833,562902,230171
2566,30,นครราชสีมา,1283556,1337187,2620743,1286634,1339160,2625794,1063007
2566,31,บุรีรัมย์,777500,793387,1570887,779221,794009,1573230,497860
2566,32,สุรินทร์,678431,687737,1366168,679575,688267,1367842,421268
2566,33,ศรีสะเกษ,720844,728066,1448910,721690,728643,1450333,416240
2566,34,อุบลราชธานี,927784,932678,1860462,931541,938067,1869608,652557
2566,35,ยโสธร,262969,265521,528490,263199,265679,528878,186684
2566,36,ชัยภูมิ,548101,563958,1112059,549032,564346,1113378,418980
2566,37,อำนาจเจริญ,185549,187805,373354,185906,188231,374137,126956
2566,38,บึงกาฬ,209936,209695,419631,210408,210079,420487,145677
2566,39,หนองบัวลำภู,251882,254276,506158,252436,254436,506872,159950
2566,40,ขอนแก่น,869852,905701,1775553,872661,906712,1779373,680877
2566,41,อุดรธานี,764437,786117,1550554,769682,788846,1558528,557058
2566,42,เลย,315915,315162,631077,317538,317604,635142,237489
2566,43,หนองคาย,252183,256890,509073,254558,259463,514021,187581
2566,44,มหาสารคาม,459528,477547,937075,460095,477820,937915,317734
2566,45,ร้อยเอ็ด,634404,649108,1283512,635320,649516,1284836,412826
2566,46,กาฬสินธุ์,477162,489890,967052,477905,490160,968065,327426
2566,47,สกลนคร,566500,574925,1141425,567271,575386,1142657,407975
2566,48,นครพนม,354700,357838,712538,355557,358727,714284,242917
2566,49,มุกดาหาร,174110,174172,348282,175671,175924,351595,124524
2566,50,เชียงใหม่,782707,852284,1634991,865666,931409,1797075,883862
2566,51,ลำพูน,189160,206140,395300,190822,207618,398440,191094
2566,52,ลำปาง,344050,364548,708598,345539,365939,711478,305171
2566,53,อุตรดิตถ์,213412,225077,438489,213882,225747,439629,177596
2566,54,แพร่,204399,221249,425648,204787,221544,426331,184393
2566,55,น่าน,235210,235710,470920,236008,236714,472722,178167
2566,56,พะเยา,221177,234524,455701,222408,235879,458287,202202
2566,57,เชียงราย,567608,597329,1164937,629917,669060,1298977,586117
2566,58,แม่ฮ่องสอน,122488,120091,242579,145500,142144,287644,121896
2566,60,นครสวรรค์,496195,523695,1019890,497375,524508,1021883,433815
2566,61,อุทัยธานี,157014,164770,321784,157266,165007,322273,130318
2566,62,กำแพงเพชร,346714,356627,703341,347579,357369,704948,288391
2566,63,ตาก,274413,274145,548558,349504,342210,691714,236902
2566,64,สุโขทัย,279098,297995,577093,279555,298311,577866,227208
2566,65,พิษณุโลก,409959,429950,839909,411058,430671,841729,368521
2566,66,พิจิตร,253908,267354,521262,254271,267636,521907,204897
2566,67,เพชรบูรณ์,474584,490805,965389,475870,491551,967421,378316
2566,70,ราชบุรี,404760,433006,837766,419181,445565,864746,344905
2566,71,กาญจนบุรี,406134,410363,816497,447878,447403,895281,365095
2566,72,สุพรรณบุรี,396573,427174,823747,398001,428390,826391,319886
2566,73,นครปฐม,437189,475693,912882,443250,481271,924521,434658
2566,74,สมุทรสาคร,269152,293763,562915,284337,307696,592033,316718
2566,75,สมุทรสงคราม,88849,97530,186379,89679,98314,187993,76343
2566,76,เพชรบุรี,230258,249024,479282,232872,250796,483668,233561
2566,77,ประจวบคีรีขันธ์,261956,275959,537915,270074,280903,550977,288188
2566,80,นครศรีธรรมราช,759222,778702,1537924,760886,780067,1540953,608533
2566,81,กระบี่,238186,241705,479891,239441,242680,482121,204440
2566,82,พังงา,131416,131948,263364,133379,133678,267057,123860
2566,83,ภูเก็ต,193443,219767,413210,199500,224099,423599,285937
2566,84,สุราษฎร์ธานี,522939,543443,1066382,528358,547430,1075788,539755
2566,85,ระนอง,90252,89442,179694,97359,96012,193371,97081
2566,86,ชุมพร,248857,256085,504942,250921,257936,508857,252386
2566,90,สงขลา,691650,731367,1423017,696601,735358,1431959,584425
2566,91,สตูล,161746,163203,324949,162039,163431,325470,110545
2566,92,ตรัง,310491,325183,635674,311212,325805,637017,243956
2566,93,พัทลุง,253033,267225,520258,253232,267366,520598,205036
2566,94,ปัตตานี,363595,371964,735559,364396,372681,737077,204902
2566,95,ยะลา,272461,275877,548338,273248,276698,549946,178717
2566,96,นราธิวาส,404519,413455,817974,405170,413992,819162,229831
2567,10,กรุงเทพมหานคร,2487791,2865040,5352831,2544400,2910620,5455020,3304462
2567,11,สมุทรปราการ,645682,719358,1365040,654057,726769,1380826,783230
2567,12,นนทบุรี,604365,703621,1307986,609722,708197,1317919,768221
2567,13,ปทุมธานี,578320,647271,1225591,584170,652301,1236471,716096
2567,14,พระนครศรีอยุธยา,393124,427370,820494,394331,428389,822720,362285
2567,15,อ่างทอง,128228,140212,268440,128445,140430,268875,105354
2567,16,ลพบุรี,359237,364603,723840,360040,365226,725266,306787
2567,17,สิงห์บุรี,94731,104765,199496,94895,104908,199803,81992
2567,18,ชัยนาท,150293,163099,313392,150495,163264,313759,132908
2567,19,สระบุรี,312132,324903,637035,313262,325903,639165,305526
2567,20,ชลบุรี,780569,831522,1612091,794783,840742,1635525,1172425
2567,21,ระยอง,378392,395901,774293,382979,399192,782171,578414
2567,22,จันทบุรี,259033,272503,531536,261555,274833,536388,261649
2567,23,ตราด,107145,109965,217110,111893,114624,226517,114393
2567,24,ฉะเชิงเทรา,356513,372705,729218,358556,374575,733131,345381
2567,25,ปราจีนบุรี,246077,253239,499316,246835,253772,500607,242594
2567,26,นครนายก,127600,130813,258413,128349,131421,259770,111246
2567,27,สระแก้ว,278271,278777,557048,280641,281601,562242,233852
2567,30,นครราชสีมา,1279609,1335430,2615039,1282763,1337409,2620172,1079582
2567,31,บุรีรัมย์,773406,790439,1563845,775230,791078,1566308,504266
2567,32,สุรินทร์,674067,684435,1358502,675268,684977,1360245,426326
2567,33,ศรีสะเกษ,716184,724332,1440516,717079,724934,1442013,420976
2567,34,อุบลราชธานี,925928,932792,1858720,929772,938170,1867942,661003
2567,35,ยโสธร,260958,263953,524911,261204,264121,525325,189342
2567,36,ชัยภูมิ,543962,561046,1105008,544954,561450,1106404,424219
2567,37,อำนาจเจริญ,184419,186978,371397,184783,187400,372183,128559
2567,38,บึงกาฬ,208971,208873,417844,209459,209274,418733,147459
2567,39,หนองบัวลำภู,250272,253344,503616,250862,253517,504379,161989
2567,40,ขอนแก่น,865322,903044,1768366,868299,904082,1772381,692088
2567,41,อุดรธานี,759970,783780,1543750,765475,786660,1552135,565876
2567,42,เลย,314252,313885,628137,315871,316316,632187,240382
2567,43,หนองคาย,250780,255909,506689,253194,258512,511706,190025
2567,44,มหาสารคาม,455640,473416,929056,456246,473706,929952,321366
2567,45,ร้อยเอ็ด,628860,645268,1274128,629825,645694,1275519,417865
2567,46,กาฬสินธุ์,473743,487626,961369,474533,487911,962444,331891
2567,47,สกลนคร,563370,573096,1136466,564205,573567,1137772,411116
2567,48,นครพนม,352641,356312,708953,353531,357209,710740,246183
2567,49,มุกดาหาร,173361,173727,347088,174977,175533,350510,126326
2567,50,เชียงใหม่,782033,853950,1635983,865486,933533,1799019,900484
2567,51,ลำพูน,187960,205608,393568,189647,207106,396753,193492
2567,52,ลำปาง,340181,361064,701245,341663,362463,704126,307969
2567,53,อุตรดิตถ์,211519,223602,435121,212005,224278,436283,179308
2567,54,แพร่,201974,219064,421038,202378,219367,421745,185874
2567,55,น่าน,233838,234832,468670,234647,235860,470507,180461
2567,56,พะเยา,219082,232972,452054,220378,234386,454764,204387
2567,57,เชียงราย,565621,596383,1162004,628811,668846,1297657,594808
2567,58,แม่ฮ่องสอน,122370,120036,242406,145723,142359,288082,123826
2567,60,นครสวรรค์,492078,520301,1012379,493281,521120,1014401,437370
2567,61,อุทัยธานี,156049,163891,319940,156311,164134,320445,132050
2567,62,กำแพงเพชร,344303,354973,699276,345166,355696,700862,291549
2567,63,ตาก,274966,274922,549888,352933,345664,698597,241517
2567,64,สุโขทัย,276686,295889,572575,277179,296209,573388,229235
2567,65,พิษณุโลก,408460,428784,837244,409596,429520,839116,372740
2567,66,พิจิตร,251416,265237,516653,251787,265521,517308,206966
2567,67,เพชรบูรณ์,470751,487889,958640,472067,488651,960718,382224
2567,70,ราชบุรี,404458,432446,836904,418947,445090,864037,350718
2567,71,กาญจนบุรี,405218,410914,816132,447653,448698,896351,370344
2567,72,สุพรรณบุรี,394308,425196,819504,395769,426442,822211,324002
2567,73,นครปฐม,437586,476961,914547,443395,482363,925758,442482
2567,74,สมุทรสาคร,270891,295993,566884,283460,307407,590867,323332
2567,75,สมุทรสงคราม,88282,97013,185295,89040,97744,186784,77393
2567,76,เพชรบุรี,230215,249404,479619,232930,251215,484145,237512
2567,77,ประจวบคีรีขันธ์,261787,276604,538391,270215,281554,551769,293330
2567,80,นครศรีธรรมราช,755909,775818,1531727,757539,777114,1534653,616268
2567,81,กระบี่,239078,242609,481687,240313,243542,483855,208232
2567,82,พังงา,131075,131780,262855,132910,133386,266296,125443
2567,83,ภูเก็ต,196152,223523,419675,201988,227595,429583,294383
2567,84,สุราษฎร์ธานี,523298,543492,1066790,529077,547589,1076666,550373
2567,85,ระนอง,90303,89792,180095,96944,95983,192927,98370
2567,86,ชุมพร,248329,256025,504354,250267,257786,508053,256148
2567,90,สงขลา,691405,731814,1423219,695802,735305,1431107,593923
2567,91,สตูล,161395,162995,324390,161667,163212,324879,111775
2567,92,ตรัง,309336,324313,633649,310045,324914,634959,246853
2567,93,พัทลุง,252260,266843,519103,252460,266980,519440,207767
2567,94,ปัตตานี,365732,373670,739402,366532,374372,740904,208009
2567,95,ยะลา,273900,277458,551358,274701,278273,552974,181284
2567,96,นราธิวาส,407004,415823,822827,407632,416364,823996,232664
